task,noise_multiplier,seed,num_rounds,clip_norm,test_metric_name,test_metric_value,epsilon,delta,shokri_attack_auc,lira_attack_auc,lira_tpr_fpr001,lira_tpr_fpr01,wall_time_seconds
Solubility_AqSolDB,1.0,1337,10,1.0,mae,10385205.385091031,19.05359753163139,1e-05,0.5,0.4893828360634281,0.0014314342971657602,0.009018036072144289,264.8
Solubility_AqSolDB,1.0,2024,10,1.0,mae,74154340.43814382,19.05359753163139,1e-05,0.5,0.4992283013698905,0.000572573718866304,0.006155167477812768,263.0
Solubility_AqSolDB,2.0,42,10,1.0,mae,575574691.207554,8.079406222420491,1e-05,0.5,0.5020626416292059,0.0007157171485828801,0.012167191525908961,263.8
Solubility_AqSolDB,2.0,1337,10,1.0,mae,6731217126.81571,8.079406222420491,1e-05,0.5,0.4866544377115344,0.001288290867449184,0.013455482393358144,263.3
Solubility_AqSolDB,2.0,2024,10,1.0,mae,679149839.4056219,8.079406222420491,1e-05,0.5,0.4971268812752481,0.000286286859433152,0.011022044088176353,263.7
BBB_Martins,0.0,42,10,1.0,auc,0.7793347404627893,,,0.4959457538748471,0.5282739900784502,0.0,0.0063335679099225895,76.1
BBB_Martins,0.0,1337,10,1.0,auc,0.8004416823014383,,,0.4762413203773101,0.49452616106745056,0.0007037297677691766,0.0049261083743842365,66.7
BBB_Martins,0.0,2024,10,1.0,auc,0.8121482176360225,,,0.5327555007054632,0.520484429545557,0.0,0.013370865587614356,66.4
BBB_Martins,0.5,42,10,1.0,auc,0.47560975609756095,48.80169282486775,1e-05,0.49612948627726955,0.4993396033460097,0.0,0.012667135819845179,75.4
BBB_Martins,0.5,1337,10,1.0,auc,0.4969512195121951,48.80169282486775,1e-05,0.47853624208304013,0.4862200698183129,0.003518648838845883,0.011963406052076003,66.4
BBB_Martins,0.5,2024,10,1.0,auc,0.5,48.80169282486775,1e-05,0.5239268121041519,0.49315683467203764,0.00422237860661506,0.013370865587614356,75.6
BBB_Martins,1.0,42,10,1.0,auc,0.505823952470294,19.05359753163139,1e-05,0.48434201266713584,0.497894010670346,0.0014074595355383533,0.007741027445460943,66.9
BBB_Martins,1.0,1337,10,1.0,auc,0.5003126954346466,19.05359753163139,1e-05,0.4797677691766362,0.49956146888855757,0.0,0.007037297677691766,76.7
BBB_Martins,1.0,2024,10,1.0,auc,0.5,19.05359753163139,1e-05,0.47607318789584796,0.5073579627196556,0.0007037297677691766,0.023926812104152005,76.0
BBB_Martins,2.0,42,10,1.0,auc,0.5,8.079406222420491,1e-05,0.5239268121041519,0.513166333290578,0.0014074595355383533,0.007037297677691766,75.9
BBB_Martins,2.0,1337,10,1.0,auc,0.4670497185741089,8.079406222420491,1e-05,0.4442294159042927,0.49338043353913674,0.0028149190710767065,0.018296973961998593,76.2
BBB_Martins,2.0,2024,10,1.0,auc,0.5,8.079406222420491,1e-05,0.5239268121041519,0.495377223422068,0.00422237860661506,0.023926812104152005,76.0
HIA_Hou,0.0,42,10,1.0,auc,0.8600823045267489,,,0.48808084664164064,0.5115267968865984,0.01240694789081886,0.02481389578163772,31.6
HIA_Hou,0.0,1337,10,1.0,auc,0.8818930041152263,,,0.5936141333163665,0.5055884286653518,0.0024813895781637717,0.03722084367245657,31.4
HIA_Hou,0.0,2024,10,1.0,auc,0.8699588477366256,,,0.5117812983817946,0.5301478229517932,0.0024813895781637717,0.0024813895781637717,31.5
HIA_Hou,0.5,42,10,1.0,auc,0.5,48.80169282486775,1e-05,0.4392059553349876,0.5509957370999555,0.02481389578163772,0.02977667493796526,31.6
HIA_Hou,0.5,1337,10,1.0,auc,0.6851851851851852,48.80169282486775,1e-05,0.5392886683209264,0.4900850459163114,0.004962779156327543,0.01240694789081886,31.7
HIA_Hou,0.5,2024,10,1.0,auc,0.5,48.80169282486775,1e-05,0.4392059553349876,0.5297448622510658,0.0,0.004962779156327543,31.8
HIA_Hou,1.0,42,10,1.0,auc,0.5148148148148148,19.05359753163139,1e-05,0.5523848910945686,0.5463298763546902,0.02977667493796526,0.03722084367245657,31.6
HIA_Hou,1.0,1337,10,1.0,auc,0.5,19.05359753163139,1e-05,0.5607940446650124,0.4913363449343598,0.0,0.007444168734491315,31.5
HIA_Hou,1.0,2024,10,1.0,auc,0.48703703703703705,19.05359753163139,1e-05,0.5022056796250345,0.5221522343110433,0.009925558312655087,0.01488833746898263,31.8
HIA_Hou,2.0,42,10,1.0,auc,0.5,8.079406222420491,1e-05,0.4392059553349876,0.5517592415855443,0.02977667493796526,0.04714640198511166,31.7
HIA_Hou,2.0,1337,10,1.0,auc,0.5055555555555555,8.079406222420491,1e-05,0.43493245106148326,0.48270450255561914,0.004962779156327543,0.03225806451612903,31.6
HIA_Hou,2.0,2024,10,1.0,auc,0.4925925925925926,8.079406222420491,1e-05,0.5601047697821891,0.49146359568195797,0.004962779156327543,0.004962779156327543,31.9
